process.parent.name,process.parent.pid,process.group_leader.pid,process.session_leader.pid,process.pid,process.command_line,process.executable,@timestamp,host.os.family,host.name,user.name
/usr/bin/xargs,10974,10957,10950,11040,basename /Library/Application Support/Script Editor/Templates/Droplets/Recursive Image File Processing Droplet.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11022,basename /usr/local/Cellar/python@3.12/3.12.1_1/Frameworks/Python.framework/Versions/3.12/Resources/Python.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,10986,"basename /Users/michael.scott/Downloads/New Era for Stablecoins and DeFi, CeFi (Protected).app",/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,11048,sh -c ditto -c -k --sequesterRsrc --keepParent /Users/michael.scott/211052263 /Users/michael.scott/211052263.zip --norsrc --noextattr,/bin/bash,2024-11-21T23:56:55.143Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11047,11047,11047,/System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Resources/DesktopServicesHelper,/System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper,2024-11-21T23:56:55.143Z,darwin,scr-office-imac.local,root
/Volumes/BrewApp/BrewApp,10957,10957,10950,11048,sh -c ditto -c -k --sequesterRsrc --keepParent /Users/michael.scott/211052263 /Users/michael.scott/211052263.zip --norsrc --noextattr,/bin/sh,2024-11-21T23:56:55.143Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11052,1,11052,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11052,xpcproxy com.apple.mdworker.shared.0E000000-0700-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,root
/sbin/launchd,1,1,1,11051,xpcproxy com.apple.mdworker.shared.0B000000-0400-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,root
/sbin/launchd,1,1,1,11053,xpcproxy com.apple.mdworker.shared.04000000-0600-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:57.146Z,darwin,scr-office-imac.local,root
/usr/libexec/xpcproxy,1,11053,1,11053,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:57.146Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11054,xpcproxy com.apple.speech.MacinTalkFramework.WardaSynthesizer.arm64 499,/usr/libexec/xpcproxy,2024-11-21T23:57:00.149Z,darwin,scr-office-imac.local,root
